Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"29/SYB",2.7713275173679e-3,2.7577376583591104e-3,2.7954650143161416e-3,4.5884428280423444e-5,2.9094876090456664e-5,7.862446862294946e-5
"29/Uni",7.882678617723286e-4,7.221591581590474e-4,8.873069395311175e-4,2.0824850604506982e-4,1.4903326783173693e-4,2.8203605256594947e-4
"30/TYB",1.783538082614541e-4,1.7687561307102445e-4,1.8408539090305565e-4,6.853763564650568e-6,5.509481434007331e-7,1.4602808721554544e-5
"30/Hand",2.0173510278885567e-4,2.001980976822476e-4,2.0594875381017727e-4,6.127441232919519e-6,2.5009834524552937e-6,1.2026194442710247e-5
"30/SYB",1.7111087063327432e-3,1.6880393246188762e-3,1.7494368771091104e-3,7.609656999294207e-5,4.887230596939183e-5,1.1037931553822438e-4
"30/Uni",4.060737364615003e-4,4.035751097525161e-4,4.097072356070081e-4,7.764888833002542e-6,5.691050317862978e-6,1.1102525371055055e-5
"31/TYB",2.5762717413405583e-5,2.5634077344503668e-5,2.5933107224603495e-5,3.846308826013237e-7,3.0535157045467e-7,4.926818790535277e-7
"31/Hand",2.5887852603488642e-5,2.5681983343447035e-5,2.617043044984989e-5,6.25796419167229e-7,4.5267386714669244e-7,8.026059698740961e-7
"31/SYB",2.087748087011278e-4,2.0764470463618636e-4,2.1053115890050928e-4,3.6011196644324843e-6,2.4908519378934683e-6,4.983490662242763e-6
"31/Uni",4.307636270698693e-5,4.2875409904601315e-5,4.336621157958039e-5,6.22539852517283e-7,4.5479395366753635e-7,8.236296399493422e-7
"32/TYB",3.807059996450941e-5,3.7895123890290654e-5,3.833508564159274e-5,5.507140419673637e-7,3.875405542928221e-7,7.580320884869498e-7
"32/Hand",3.930238055726214e-5,3.913502609657665e-5,3.957648501400985e-5,5.482179911826005e-7,3.876110190944718e-7,8.706736178015398e-7
"32/SYB",3.22672730172053e-4,3.212589079979807e-4,3.2448232718743385e-4,4.157620870264188e-6,3.3824817539739947e-6,5.77757817321322e-6
"32/Uni",6.537848169811898e-5,6.500072070500918e-5,6.588551854300832e-5,1.1415170198739267e-6,8.853878713360972e-7,1.6231879893916576e-6
"33/TYB",2.5834800992161034e-4,2.5644066128879784e-4,2.617717007175088e-4,6.489337367768397e-6,3.757847930601725e-6,9.338199668558317e-6
"33/Hand",3.0228794165886936e-4,3.009337241295726e-4,3.042692000512034e-4,4.22931532177412e-6,2.9743195531825997e-6,5.483519338843851e-6
"33/SYB",2.4469733456149692e-3,2.42993118558079e-3,2.480227969028056e-3,5.98491612401372e-5,2.5981182647219314e-5,9.271119128050585e-5
"33/Uni",6.283080686815083e-4,6.258666624315083e-4,6.333291639573873e-4,8.71096138617783e-6,4.984160212021426e-6,1.5092326058182335e-5
"34/TYB",1.3623001370579002e-4,1.339698055759072e-4,1.4252426419407126e-4,9.006154660164424e-6,3.4955502914786416e-6,1.782168911424405e-5
"34/Hand",1.422902968944982e-4,1.4021605525631455e-4,1.4448493991512805e-4,5.536115429525835e-6,4.918961259708957e-6,6.323785024157288e-6
"34/SYB",1.2308001736178998e-3,1.2251639584079388e-3,1.23817207608372e-3,1.6697540973605833e-5,1.315246055396674e-5,2.051602147815665e-5
"34/Uni",2.1624525751297674e-4,2.152311838231981e-4,2.178855773371955e-4,3.309235945338499e-6,2.2866787667482163e-6,5.126427087187737e-6
"35/TYB",2.968573788180947e-4,2.9357673916965727e-4,3.030276516452431e-4,1.13154087260483e-5,6.639832581648196e-6,1.641954094877461e-5
"35/Hand",3.6513031073845924e-4,3.6331117697991434e-4,3.680747801903636e-4,5.91896731536115e-6,4.0848581202238956e-6,9.404368266847029e-6
"35/SYB",3.1475711086764923e-3,3.1279635647311803e-3,3.173940203525126e-3,5.9063478117923074e-5,4.621861252339808e-5,8.119537381987268e-5
"35/Uni",7.354056944139303e-4,7.324111570604146e-4,7.399547209031881e-4,9.491140889713027e-6,6.4050194650735355e-6,1.3384257159723526e-5
"36/TYB",4.945387533710649e-5,4.916220994200557e-5,4.990965218748898e-5,9.328809257185539e-7,6.417630767182754e-7,1.4558552264907744e-6
"36/Hand",4.9447472435845574e-5,4.9075105964121504e-5,5.003614958206361e-5,1.2048181364168432e-6,8.155974176502636e-7,1.627813718394896e-6
"36/SYB",4.1600466500967746e-4,4.123838815217218e-4,4.257830056672295e-4,1.4345828592775212e-5,6.170846225235319e-6,2.812349689617528e-5
"36/Uni",8.486594628276571e-5,8.440954500277128e-5,8.558120202007037e-5,1.4625655848171345e-6,1.0235271248398424e-6,2.1195264634661897e-6
"37/TYB",2.270547285174521e-5,2.259818449114951e-5,2.2919132578401615e-5,3.7769220882230414e-7,2.2165359526897266e-7,6.680244872460681e-7
"37/Hand",2.2849272293442823e-5,2.2742748671685746e-5,2.2998261413062518e-5,3.26177606711842e-7,2.474246396908567e-7,4.293407589032834e-7
"37/SYB",1.7516783616904703e-4,1.7278909994555372e-4,1.785383936816028e-4,7.288595488813273e-6,5.2805410483446445e-6,1.1701746764472835e-5
"37/Uni",3.7617609585868195e-5,3.7358925427543e-5,3.798388012801296e-5,7.913843602709698e-7,6.027464444952793e-7,1.0719883003900286e-6
"38/TYB",7.93242672458291e-5,7.864715848118066e-5,8.081199917942286e-5,2.5014264070995324e-6,1.2672121301573098e-6,4.364319221819415e-6
"38/Hand",8.12363639101386e-5,8.083963539451362e-5,8.183145668357611e-5,1.2474596347097427e-6,9.035669221414555e-7,1.6864303119089055e-6
"38/SYB",7.588613142259419e-4,7.557475675828755e-4,7.630908598192036e-4,9.39411559335973e-6,7.125850992913242e-6,1.3143597704065721e-5
"38/Uni",1.4950620045678487e-4,1.480820468109515e-4,1.5259716488007046e-4,5.212541426263485e-6,2.2611328264686457e-6,8.81748237951488e-6
"39/TYB",2.3797752652317283e-4,2.336669186130166e-4,2.4863960538059466e-4,1.6436172903136588e-5,7.429649834643375e-6,2.986415805845391e-5
"39/Hand",2.9301596123725184e-4,2.8698111016303306e-4,3.0556059319525964e-4,2.1646420069748936e-5,9.819545623670357e-6,3.5028982768704e-5
"39/SYB",2.188375017978251e-3,2.179706118442119e-3,2.205750964023173e-3,3.068212761039982e-5,1.767328811333637e-5,5.322308747054169e-5
"39/Uni",5.799281706102194e-4,5.773818601854144e-4,5.840623487718403e-4,8.315079382725668e-6,5.855158556235488e-6,1.19352989211526e-5
"40/TYB",1.102996090427041e-4,1.0911705289036035e-4,1.1224510464817285e-4,3.864465355152554e-6,2.3038769444480706e-6,5.100746197245806e-6
"40/Hand",1.1796236236325718e-4,1.1759736519306897e-4,1.1846260789104484e-4,1.108361212918541e-6,8.373892334236279e-7,1.385545713893347e-6
"40/SYB",1.0952460874803368e-3,1.0906493772752583e-3,1.1003911604173483e-3,1.2684217591008616e-5,1.0635283786362943e-5,1.5429814839956794e-5
"40/Uni",2.138658400935431e-4,2.1263718968257307e-4,2.157350417536994e-4,3.907253734375282e-6,2.7414997814950593e-6,5.142158618265995e-6
"41/TYB",2.463031033053994e-4,2.441287258639933e-4,2.507567623630166e-4,7.771958099861166e-6,3.5354616178606624e-6,1.2288521608835021e-5
"41/Hand",2.9721201010979715e-4,2.9515207358635963e-4,3.0055463858880106e-4,6.755426814205403e-6,4.4418166196818766e-6,9.754264454194151e-6
"41/SYB",2.5447440365329384e-3,2.5308013180270787e-3,2.5783324459567668e-3,5.30698674575236e-5,2.519952800086114e-5,9.879978179081796e-5
"41/Uni",6.059253324754537e-4,6.029737104661763e-4,6.102883924730123e-4,9.313018001782514e-6,6.8916648883989535e-6,1.2636057235266898e-5
"42/TYB",1.415992001071572e-4,1.410460690036416e-4,1.4281990323215726e-4,1.9986910715452554e-6,4.920904026162694e-7,3.3385696111194245e-6
"42/Hand",1.6543358836788684e-4,1.6339153323788197e-4,1.699563888134435e-4,7.342464481776263e-6,1.4791152110530388e-6,1.1696555780585472e-5
"42/SYB",1.4955592373386026e-3,1.4887500027194619e-3,1.5092158535495402e-3,2.4216165416157622e-5,1.3613018858350482e-5,4.171391110097043e-5
"42/Uni",2.649396712426097e-4,2.6324928351677957e-4,2.6727855750359605e-4,5.135251767955003e-6,3.857389239472003e-6,6.763181217472133e-6
"43/TYB",2.548861721530557e-4,2.533221462741494e-4,2.594161251559854e-4,6.293497859385135e-6,2.3131107926999496e-6,1.1983943330633348e-5
"43/Hand",2.984042211249471e-4,2.970042272284627e-4,3.005690618231893e-4,4.463269669174173e-6,3.076492840305382e-6,5.986520400694528e-6
"43/SYB",2.384889147616923e-3,2.376401446200907e-3,2.3970580318942677e-3,2.6195562595821444e-5,1.8946988125804014e-5,3.5237892283968895e-5
"43/Uni",6.285226454026997e-4,6.245458235032855e-4,6.386745085008442e-4,1.5387155027023272e-5,7.240077840512677e-6,2.995557165928781e-5
"44/TYB",2.6850464139133694e-4,2.66377947665751e-4,2.721858242526651e-4,7.078663272525561e-6,4.319041015027351e-6,9.68145800920963e-6
"44/Hand",3.036397750023752e-4,3.023713881615549e-4,3.05578118050471e-4,4.022985315475753e-6,2.8368367158431387e-6,5.725766874474915e-6
"44/SYB",2.8561663845553995e-3,2.8465628841891884e-3,2.868411562778056e-3,2.806838183315135e-5,2.130479127260729e-5,3.762702194952546e-5
"44/Uni",6.456792463548483e-4,6.419646848924459e-4,6.539189924485981e-4,1.3620240844679082e-5,5.630638088441279e-6,2.3533126552767787e-5
"45/TYB",3.959272666834295e-5,3.9049472905961534e-5,4.033523024325924e-5,1.633886898238534e-6,1.217657293752801e-6,2.5579392731550737e-6
"45/Hand",3.9487577956770695e-5,3.9291305629716766e-5,3.979029264301062e-5,6.253028526682604e-7,4.4561465234470405e-7,9.724853711753254e-7
